Designator,Footprint,Quantity,Value,LCSC Part #
R11,0805,1,20k,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4840> >
R12,0805,1,2200,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4bd0> >
R13,0805,1,220,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4990> >
R14,0805,1,2200,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4630> >
R15,0805,1,2200,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4600> >
R16,0805,1,2200,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4420> >
R17,0805,1,2200,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea43f0> >
R18,0805,1,20k,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4720> >
R2,0805,1,47,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4750> >
R3,0805,1,10k,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea46f0> >
R4,0805,1,20k,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea47e0> >
R5,0805,1,10k,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4de0> >
R6,0805,1,20k,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4300> >
R7,0805,1,680,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4db0> >
R8,0805,1,680,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4e10> >
R9,0805,1,680,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea42d0> >
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LF347,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea41e0> >
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,LF347,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4b10> >
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA1688,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124ea4b40> >
